Trajectory - Seconds: 24.84, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.01), 
State(Sec: 2.22, Vel m/s: 1.18, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.20, Y: -2.20), Rotation2d(Rads: -0.02, Deg: -1.18)), Curvature: -0.10), 
State(Sec: 2.29, Vel m/s: 1.12, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.28, Y: -2.20), Rotation2d(Rads: -0.03, Deg: -1.70)), Curvature: -0.15), 
State(Sec: 2.35, Vel m/s: 1.05, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.34, Y: -2.20), Rotation2d(Rads: -0.04, Deg: -2.38)), Curvature: -0.22), 
State(Sec: 2.46, Vel m/s: 0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.45, Y: -2.21), Rotation2d(Rads: -0.08, Deg: -4.43)), Curvature: -0.50), 
State(Sec: 2.55, Vel m/s: 0.86, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.53, Y: -2.22), Rotation2d(Rads: -0.14, Deg: -7.76)), Curvature: -1.02), 
State(Sec: 2.62, Vel m/s: 0.78, Accel m/s/s: 0.40, Pose: Pose2d(Translation2d(X: 3.59, Y: -2.23), Rotation2d(Rads: -0.22, Deg: -12.44)), Curvature: -1.63), 
State(Sec: 2.68, Vel m/s: 0.81, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.64, Y: -2.24), Rotation2d(Rads: -0.30, Deg: -17.36)), Curvature: -1.53), 
State(Sec: 2.74, Vel m/s: 0.87, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.68, Y: -2.26), Rotation2d(Rads: -0.35, Deg: -20.28)), Curvature: -0.48), 
State(Sec: 2.87, Vel m/s: 1.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.80, Y: -2.30), Rotation2d(Rads: -0.32, Deg: -18.32)), Curvature: 0.53), 
State(Sec: 2.96, Vel m/s: 1.08, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.88, Y: -2.33), Rotation2d(Rads: -0.30, Deg: -16.91)), Curvature: 0.13), 
State(Sec: 3.05, Vel m/s: 1.17, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.98, Y: -2.36), Rotation2d(Rads: -0.29, Deg: -16.66)), Curvature: -0.03), 
State(Sec: 3.14, Vel m/s: 1.27, Accel m/s/s: -0.97, Pose: Pose2d(Translation2d(X: 4.09, Y: -2.39), Rotation2d(Rads: -0.30, Deg: -17.16)), Curvature: -0.12), 
State(Sec: 3.24, Vel m/s: 1.17, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.20, Y: -2.42), Rotation2d(Rads: -0.32, Deg: -18.31)), Curvature: -0.22), 
State(Sec: 3.35, Vel m/s: 1.06, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.32, Y: -2.46), Rotation2d(Rads: -0.35, Deg: -20.21)), Curvature: -0.34), 
State(Sec: 3.46, Vel m/s: 0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.42, Y: -2.51), Rotation2d(Rads: -0.40, Deg: -23.13)), Curvature: -0.56), 
State(Sec: 3.58, Vel m/s: 0.83, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.52, Y: -2.55), Rotation2d(Rads: -0.48, Deg: -27.67)), Curvature: -0.98), 
State(Sec: 3.64, Vel m/s: 0.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.56, Y: -2.58), Rotation2d(Rads: -0.54, Deg: -30.90)), Curvature: -1.36), 
State(Sec: 3.70, Vel m/s: 0.71, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.60, Y: -2.60), Rotation2d(Rads: -0.61, Deg: -35.10)), Curvature: -1.94), 
State(Sec: 3.73, Vel m/s: 0.68, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.62, Y: -2.61), Rotation2d(Rads: -0.66, Deg: -37.59)), Curvature: -2.16), 
State(Sec: 3.76, Vel m/s: 0.65, Accel m/s/s: -0.99, Pose: Pose2d(Translation2d(X: 4.63, Y: -2.63), Rotation2d(Rads: -0.70, Deg: -40.24)), Curvature: -2.40), 
State(Sec: 3.80, Vel m/s: 0.61, Accel m/s/s: -0.86, Pose: Pose2d(Translation2d(X: 4.65, Y: -2.64), Rotation2d(Rads: -0.75, Deg: -43.05)), Curvature: -2.65), 
State(Sec: 3.83, Vel m/s: 0.59, Accel m/s/s: -0.72, Pose: Pose2d(Translation2d(X: 4.66, Y: -2.65), Rotation2d(Rads: -0.80, Deg: -46.01)), Curvature: -2.89), 
State(Sec: 3.86, Vel m/s: 0.57, Accel m/s/s: -0.59, Pose: Pose2d(Translation2d(X: 4.67, Y: -2.66), Rotation2d(Rads: -0.86, Deg: -49.12)), Curvature: -3.13), 
State(Sec: 3.89, Vel m/s: 0.55, Accel m/s/s: -0.46, Pose: Pose2d(Translation2d(X: 4.68, Y: -2.68), Rotation2d(Rads: -0.91, Deg: -52.35)), Curvature: -3.34), 
State(Sec: 3.92, Vel m/s: 0.53, Accel m/s/s: -0.34, Pose: Pose2d(Translation2d(X: 4.69, Y: -2.69), Rotation2d(Rads: -0.97, Deg: -55.68)), Curvature: -3.53), 
State(Sec: 3.95, Vel m/s: 0.52, Accel m/s/s: -0.21, Pose: Pose2d(Translation2d(X: 4.70, Y: -2.71), Rotation2d(Rads: -1.03, Deg: -59.08)), Curvature: -3.67), 
State(Sec: 3.98, Vel m/s: 0.52, Accel m/s/s: -0.08, Pose: Pose2d(Translation2d(X: 4.71, Y: -2.72), Rotation2d(Rads: -1.09, Deg: -62.51)), Curvature: -3.76), 
State(Sec: 4.01, Vel m/s: 0.51, Accel m/s/s: 0.05, Pose: Pose2d(Translation2d(X: 4.72, Y: -2.73), Rotation2d(Rads: -1.15, Deg: -65.94)), Curvature: -3.80), 
State(Sec: 4.04, Vel m/s: 0.51, Accel m/s/s: 0.18, Pose: Pose2d(Translation2d(X: 4.72, Y: -2.75), Rotation2d(Rads: -1.21, Deg: -69.34)), Curvature: -3.78), 
State(Sec: 4.07, Vel m/s: 0.52, Accel m/s/s: 0.32, Pose: Pose2d(Translation2d(X: 4.73, Y: -2.76), Rotation2d(Rads: -1.27, Deg: -72.66)), Curvature: -3.70), 
State(Sec: 4.10, Vel m/s: 0.53, Accel m/s/s: 0.46, Pose: Pose2d(Translation2d(X: 4.73, Y: -2.78), Rotation2d(Rads: -1.32, Deg: -75.87)), Curvature: -3.57), 
State(Sec: 4.13, Vel m/s: 0.54, Accel m/s/s: 0.61, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.79), Rotation2d(Rads: -1.38, Deg: -78.95)), Curvature: -3.40), 
State(Sec: 4.16, Vel m/s: 0.56, Accel m/s/s: 0.78, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.81), Rotation2d(Rads: -1.43, Deg: -81.87)), Curvature: -3.19), 
State(Sec: 4.19, Vel m/s: 0.58, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.82), Rotation2d(Rads: -1.48, Deg: -84.61)), Curvature: -2.96), 
State(Sec: 4.24, Vel m/s: 0.63, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.86), Rotation2d(Rads: -1.56, Deg: -89.53)), Curvature: -2.47), 
State(Sec: 4.29, Vel m/s: 0.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.89), Rotation2d(Rads: -1.63, Deg: -93.66)), Curvature: -1.99), 
State(Sec: 4.34, Vel m/s: 0.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.74, Y: -2.92), Rotation2d(Rads: -1.69, Deg: -97.02)), Curvature: -1.54), 
State(Sec: 4.38, Vel m/s: 0.78, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.73, Y: -2.95), Rotation2d(Rads: -1.74, Deg: -99.67)), Curvature: -1.15), 
State(Sec: 4.47, Vel m/s: 0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.72, Y: -3.03), Rotation2d(Rads: -1.80, Deg: -103.06)), Curvature: -0.53), 
State(Sec: 4.55, Vel m/s: 0.95, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.70, Y: -3.10), Rotation2d(Rads: -1.82, Deg: -104.29)), Curvature: -0.06), 
State(Sec: 4.64, Vel m/s: 1.03, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.68, Y: -3.18), Rotation2d(Rads: -1.83, Deg: -105.10)), Curvature: -0.28), 
State(Sec: 4.71, Vel m/s: 1.11, Accel m/s/s: 0.12, Pose: Pose2d(Translation2d(X: 4.66, Y: -3.26), Rotation2d(Rads: -1.87, Deg: -106.89)), Curvature: -0.47), 
State(Sec: 4.79, Vel m/s: 1.12, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.63, Y: -3.34), Rotation2d(Rads: -1.91, Deg: -109.67)), Curvature: -0.67), 
State(Sec: 4.87, Vel m/s: 1.04, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.60, Y: -3.42), Rotation2d(Rads: -1.98, Deg: -113.48)), Curvature: -0.88), 
State(Sec: 4.96, Vel m/s: 0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.56, Y: -3.50), Rotation2d(Rads: -2.07, Deg: -118.38)), Curvature: -1.11), 
State(Sec: 5.00, Vel m/s: 0.90, Accel m/s/s: -0.82, Pose: Pose2d(Translation2d(X: 4.54, Y: -3.53), Rotation2d(Rads: -2.12, Deg: -121.26)), Curvature: -1.23), 
State(Sec: 5.05, Vel m/s: 0.86, Accel m/s/s: -0.66, Pose: Pose2d(Translation2d(X: 4.52, Y: -3.57), Rotation2d(Rads: -2.17, Deg: -124.44)), Curvature: -1.34), 
State(Sec: 5.10, Vel m/s: 0.83, Accel m/s/s: -0.51, Pose: Pose2d(Translation2d(X: 4.49, Y: -3.61), Rotation2d(Rads: -2.23, Deg: -127.91)), Curvature: -1.45), 
State(Sec: 5.16, Vel m/s: 0.80, Accel m/s/s: -0.36, Pose: Pose2d(Translation2d(X: 4.46, Y: -3.64), Rotation2d(Rads: -2.30, Deg: -131.66)), Curvature: -1.55), 
State(Sec: 5.21, Vel m/s: 0.78, Accel m/s/s: -0.23, Pose: Pose2d(Translation2d(X: 4.43, Y: -3.67), Rotation2d(Rads: -2.37, Deg: -135.66)), Curvature: -1.63), 
State(Sec: 5.27, Vel m/s: 0.77, Accel m/s/s: 0.74, Pose: Pose2d(Translation2d(X: 4.40, Y: -3.70), Rotation2d(Rads: -2.44, Deg: -139.88)), Curvature: -1.69), 
State(Sec: 5.33, Vel m/s: 0.81, Accel m/s/s: 0.79, Pose: Pose2d(Translation2d(X: 4.36, Y: -3.73), Rotation2d(Rads: -2.51, Deg: -144.01)), Curvature: -1.52), 
State(Sec: 5.38, Vel m/s: 0.85, Accel m/s/s: 0.82, Pose: Pose2d(Translation2d(X: 4.33, Y: -3.75), Rotation2d(Rads: -2.58, Deg: -147.78)), Curvature: -1.37), 
State(Sec: 5.43, Vel m/s: 0.90, Accel m/s/s: 0.83, Pose: Pose2d(Translation2d(X: 4.29, Y: -3.78), Rotation2d(Rads: -2.64, Deg: -151.24)), Curvature: -1.24), 
State(Sec: 5.48, Vel m/s: 0.94, Accel m/s/s: 0.80, Pose: Pose2d(Translation2d(X: 4.24, Y: -3.80), Rotation2d(Rads: -2.70, Deg: -154.43)), Curvature: -1.13), 
State(Sec: 5.53, Vel m/s: 0.98, Accel m/s/s: 0.74, Pose: Pose2d(Translation2d(X: 4.20, Y: -3.82), Rotation2d(Rads: -2.75, Deg: -157.39)), Curvature: -1.04), 
State(Sec: 5.58, Vel m/s: 1.02, Accel m/s/s: 0.65, Pose: Pose2d(Translation2d(X: 4.16, Y: -3.84), Rotation2d(Rads: -2.80, Deg: -160.14)), Curvature: -0.97), 
State(Sec: 5.63, Vel m/s: 1.05, Accel m/s/s: 0.52, Pose: Pose2d(Translation2d(X: 4.11, Y: -3.85), Rotation2d(Rads: -2.84, Deg: -162.74)), Curvature: -0.91), 
State(Sec: 5.68, Vel m/s: 1.07, Accel m/s/s: 0.27, Pose: Pose2d(Translation2d(X: 4.06, Y: -3.86), Rotation2d(Rads: -2.88, Deg: -165.21)), Curvature: -0.87), 
State(Sec: 5.76, Vel m/s: 1.09, Accel m/s/s: -0.17, Pose: Pose2d(Translation2d(X: 3.97, Y: -3.88), Rotation2d(Rads: -2.97, Deg: -169.90)), Curvature: -0.84), 
State(Sec: 5.85, Vel m/s: 1.08, Accel m/s/s: -0.82, Pose: Pose2d(Translation2d(X: 3.88, Y: -3.90), Rotation2d(Rads: -3.04, Deg: -174.46)), Curvature: -0.86), 
State(Sec: 5.94, Vel m/s: 1.01, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.79, Y: -3.90), Rotation2d(Rads: -3.13, Deg: -179.15)), Curvature: -0.96), 
State(Sec: 5.98, Vel m/s: 0.96, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.90), Rotation2d(Rads: 3.11, Deg: 178.35)), Curvature: -1.04), 
State(Sec: 6.03, Vel m/s: 0.92, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.70, Y: -3.90), Rotation2d(Rads: 3.07, Deg: 175.69)), Curvature: -1.17), 
State(Sec: 6.07, Vel m/s: 0.87, Accel m/s/s: -0.95, Pose: Pose2d(Translation2d(X: 3.66, Y: -3.90), Rotation2d(Rads: 3.02, Deg: 172.80)), Curvature: -1.31), 
State(Sec: 6.12, Vel m/s: 0.83, Accel m/s/s: -0.74, Pose: Pose2d(Translation2d(X: 3.62, Y: -3.89), Rotation2d(Rads: 2.96, Deg: 169.70)), Curvature: -1.45), 
State(Sec: 6.17, Vel m/s: 0.79, Accel m/s/s: -0.55, Pose: Pose2d(Translation2d(X: 3.58, Y: -3.88), Rotation2d(Rads: 2.90, Deg: 166.39)), Curvature: -1.58), 
State(Sec: 6.21, Vel m/s: 0.77, Accel m/s/s: -0.36, Pose: Pose2d(Translation2d(X: 3.55, Y: -3.87), Rotation2d(Rads: 2.84, Deg: 162.92)), Curvature: -1.69), 
State(Sec: 6.26, Vel m/s: 0.75, Accel m/s/s: -0.18, Pose: Pose2d(Translation2d(X: 3.51, Y: -3.86), Rotation2d(Rads: 2.78, Deg: 159.32)), Curvature: -1.77), 
State(Sec: 6.31, Vel m/s: 0.74, Accel m/s/s: 0.01, Pose: Pose2d(Translation2d(X: 3.48, Y: -3.85), Rotation2d(Rads: 2.72, Deg: 155.66)), Curvature: -1.81), 
State(Sec: 6.36, Vel m/s: 0.74, Accel m/s/s: 0.19, Pose: Pose2d(Translation2d(X: 3.45, Y: -3.83), Rotation2d(Rads: 2.65, Deg: 151.98)), Curvature: -1.81), 
State(Sec: 6.40, Vel m/s: 0.75, Accel m/s/s: 0.38, Pose: Pose2d(Translation2d(X: 3.42, Y: -3.81), Rotation2d(Rads: 2.59, Deg: 148.35)), Curvature: -1.77), 
State(Sec: 6.45, Vel m/s: 0.77, Accel m/s/s: 0.58, Pose: Pose2d(Translation2d(X: 3.39, Y: -3.79), Rotation2d(Rads: 2.53, Deg: 144.83)), Curvature: -1.69), 
State(Sec: 6.50, Vel m/s: 0.80, Accel m/s/s: 0.80, Pose: Pose2d(Translation2d(X: 3.36, Y: -3.77), Rotation2d(Rads: 2.47, Deg: 141.46)), Curvature: -1.57), 
State(Sec: 6.54, Vel m/s: 0.83, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.33, Y: -3.75), Rotation2d(Rads: 2.41, Deg: 138.30)), Curvature: -1.44), 
State(Sec: 6.58, Vel m/s: 0.88, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.30, Y: -3.72), Rotation2d(Rads: 2.36, Deg: 135.35)), Curvature: -1.30), 
State(Sec: 6.63, Vel m/s: 0.92, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.28, Y: -3.70), Rotation2d(Rads: 2.32, Deg: 132.66)), Curvature: -1.15), 
State(Sec: 6.67, Vel m/s: 0.96, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.25, Y: -3.67), Rotation2d(Rads: 2.27, Deg: 130.21)), Curvature: -1.00), 
State(Sec: 6.75, Vel m/s: 1.05, Accel m/s/s: 0.39, Pose: Pose2d(Translation2d(X: 3.20, Y: -3.60), Rotation2d(Rads: 2.20, Deg: 126.06)), Curvature: -0.74), 
State(Sec: 6.84, Vel m/s: 1.08, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.15, Y: -3.53), Rotation2d(Rads: 2.13, Deg: 122.03)), Curvature: -0.84), 
State(Sec: 6.93, Vel m/s: 0.99, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.10, Y: -3.45), Rotation2d(Rads: 2.04, Deg: 117.09)), Curvature: -1.02), 
State(Sec: 6.98, Vel m/s: 0.94, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.08, Y: -3.40), Rotation2d(Rads: 1.99, Deg: 114.19)), Curvature: -1.13), 
State(Sec: 7.03, Vel m/s: 0.89, Accel m/s/s: -0.93, Pose: Pose2d(Translation2d(X: 3.07, Y: -3.36), Rotation2d(Rads: 1.94, Deg: 110.93)), Curvature: -1.27), 
State(Sec: 7.08, Vel m/s: 0.84, Accel m/s/s: -0.83, Pose: Pose2d(Translation2d(X: 3.05, Y: -3.31), Rotation2d(Rads: 1.87, Deg: 107.27)), Curvature: -1.43), 
State(Sec: 7.14, Vel m/s: 0.79, Accel m/s/s: -0.71, Pose: Pose2d(Translation2d(X: 3.04, Y: -3.27), Rotation2d(Rads: 1.80, Deg: 103.17)), Curvature: -1.61), 
State(Sec: 7.20, Vel m/s: 0.74, Accel m/s/s: -0.62, Pose: Pose2d(Translation2d(X: 3.03, Y: -3.22), Rotation2d(Rads: 1.72, Deg: 98.58)), Curvature: -1.81), 
State(Sec: 7.23, Vel m/s: 0.72, Accel m/s/s: -0.55, Pose: Pose2d(Translation2d(X: 3.03, Y: -3.20), Rotation2d(Rads: 1.68, Deg: 96.09)), Curvature: -1.91), 
State(Sec: 7.27, Vel m/s: 0.71, Accel m/s/s: -0.49, Pose: Pose2d(Translation2d(X: 3.02, Y: -3.18), Rotation2d(Rads: 1.63, Deg: 93.48)), Curvature: -2.00), 
State(Sec: 7.30, Vel m/s: 0.69, Accel m/s/s: -0.41, Pose: Pose2d(Translation2d(X: 3.02, Y: -3.15), Rotation2d(Rads: 1.58, Deg: 90.74)), Curvature: -2.10), 
State(Sec: 7.33, Vel m/s: 0.68, Accel m/s/s: -0.34, Pose: Pose2d(Translation2d(X: 3.02, Y: -3.13), Rotation2d(Rads: 1.53, Deg: 87.87)), Curvature: -2.19), 
State(Sec: 7.37, Vel m/s: 0.66, Accel m/s/s: -0.26, Pose: Pose2d(Translation2d(X: 3.02, Y: -3.11), Rotation2d(Rads: 1.48, Deg: 84.88)), Curvature: -2.27), 
State(Sec: 7.40, Vel m/s: 0.65, Accel m/s/s: -0.19, Pose: Pose2d(Translation2d(X: 3.03, Y: -3.08), Rotation2d(Rads: 1.43, Deg: 81.79)), Curvature: -2.33), 
State(Sec: 7.44, Vel m/s: 0.65, Accel m/s/s: -0.11, Pose: Pose2d(Translation2d(X: 3.03, Y: -3.06), Rotation2d(Rads: 1.37, Deg: 78.60)), Curvature: -2.38), 
State(Sec: 7.48, Vel m/s: 0.64, Accel m/s/s: -0.03, Pose: Pose2d(Translation2d(X: 3.04, Y: -3.04), Rotation2d(Rads: 1.31, Deg: 75.32)), Curvature: -2.41), 
State(Sec: 7.52, Vel m/s: 0.64, Accel m/s/s: 0.06, Pose: Pose2d(Translation2d(X: 3.04, Y: -3.01), Rotation2d(Rads: 1.26, Deg: 71.99)), Curvature: -2.42), 
State(Sec: 7.55, Vel m/s: 0.65, Accel m/s/s: 0.14, Pose: Pose2d(Translation2d(X: 3.05, Y: -2.99), Rotation2d(Rads: 1.20, Deg: 68.61)), Curvature: -2.40), 
State(Sec: 7.59, Vel m/s: 0.65, Accel m/s/s: 0.22, Pose: Pose2d(Translation2d(X: 3.06, Y: -2.97), Rotation2d(Rads: 1.14, Deg: 65.22)), Curvature: -2.36), 
State(Sec: 7.63, Vel m/s: 0.66, Accel m/s/s: 0.31, Pose: Pose2d(Translation2d(X: 3.07, Y: -2.94), Rotation2d(Rads: 1.08, Deg: 61.83)), Curvature: -2.30), 
State(Sec: 7.67, Vel m/s: 0.67, Accel m/s/s: 0.40, Pose: Pose2d(Translation2d(X: 3.09, Y: -2.92), Rotation2d(Rads: 1.02, Deg: 58.47)), Curvature: -2.22), 
State(Sec: 7.71, Vel m/s: 0.69, Accel m/s/s: 0.90, Pose: Pose2d(Translation2d(X: 3.10, Y: -2.90), Rotation2d(Rads: 0.96, Deg: 55.16)), Curvature: -2.12), 
State(Sec: 7.75, Vel m/s: 0.72, Accel m/s/s: 0.98, Pose: Pose2d(Translation2d(X: 3.12, Y: -2.88), Rotation2d(Rads: 0.91, Deg: 51.99)), Curvature: -1.92), 
State(Sec: 7.79, Vel m/s: 0.76, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.13, Y: -2.86), Rotation2d(Rads: 0.86, Deg: 49.04)), Curvature: -1.73), 
State(Sec: 7.82, Vel m/s: 0.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.15, Y: -2.83), Rotation2d(Rads: 0.81, Deg: 46.29)), Curvature: -1.57), 
