Trajectory - Seconds: 6.36, States:
State(Sec: 0.00, Vel m/s: -0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: 3.27), Rotation2d(Rads: 1.57, Deg: 90.00)), Curvature: -0.00), 
State(Sec: 1.83, Vel m/s: -1.72, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.82, Y: 1.71), Rotation2d(Rads: 2.07, Deg: 118.69)), Curvature: -0.17), 
State(Sec: 1.87, Vel m/s: -1.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.86, Y: 1.65), Rotation2d(Rads: 2.08, Deg: 119.40)), Curvature: -0.18), 
State(Sec: 1.91, Vel m/s: -1.64, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.89, Y: 1.59), Rotation2d(Rads: 2.10, Deg: 120.15)), Curvature: -0.19), 
State(Sec: 1.95, Vel m/s: -1.59, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.93, Y: 1.53), Rotation2d(Rads: 2.11, Deg: 120.95)), Curvature: -0.20), 
State(Sec: 2.00, Vel m/s: -1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.97, Y: 1.47), Rotation2d(Rads: 2.13, Deg: 121.78)), Curvature: -0.22), 
State(Sec: 2.04, Vel m/s: -1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.00, Y: 1.41), Rotation2d(Rads: 2.14, Deg: 122.68)), Curvature: -0.24), 
State(Sec: 2.09, Vel m/s: -1.46, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.04, Y: 1.35), Rotation2d(Rads: 2.16, Deg: 123.63)), Curvature: -0.26), 
State(Sec: 2.13, Vel m/s: -1.41, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.08, Y: 1.30), Rotation2d(Rads: 2.18, Deg: 124.66)), Curvature: -0.29), 
State(Sec: 2.22, Vel m/s: -1.32, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.15, Y: 1.20), Rotation2d(Rads: 2.22, Deg: 126.96)), Curvature: -0.36), 
State(Sec: 2.32, Vel m/s: -1.23, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.22, Y: 1.11), Rotation2d(Rads: 2.26, Deg: 129.68)), Curvature: -0.45), 
State(Sec: 2.41, Vel m/s: -1.14, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.29, Y: 1.02), Rotation2d(Rads: 2.32, Deg: 132.91)), Curvature: -0.59), 
State(Sec: 2.50, Vel m/s: -1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.36, Y: 0.95), Rotation2d(Rads: 2.39, Deg: 136.80)), Curvature: -0.78), 
State(Sec: 2.59, Vel m/s: -0.95, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.43, Y: 0.89), Rotation2d(Rads: 2.47, Deg: 141.48)), Curvature: -1.02), 
State(Sec: 2.64, Vel m/s: -0.91, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.47, Y: 0.87), Rotation2d(Rads: 2.52, Deg: 144.15)), Curvature: -1.17), 
State(Sec: 2.68, Vel m/s: -0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.50, Y: 0.84), Rotation2d(Rads: 2.57, Deg: 147.04)), Curvature: -1.33), 
State(Sec: 2.73, Vel m/s: -0.82, Accel m/s/s: 0.90, Pose: Pose2d(Translation2d(X: 3.53, Y: 0.82), Rotation2d(Rads: 2.62, Deg: 150.15)), Curvature: -1.50), 
State(Sec: 2.78, Vel m/s: -0.78, Accel m/s/s: 0.69, Pose: Pose2d(Translation2d(X: 3.57, Y: 0.81), Rotation2d(Rads: 2.68, Deg: 153.46)), Curvature: -1.66), 
State(Sec: 2.82, Vel m/s: -0.74, Accel m/s/s: 0.47, Pose: Pose2d(Translation2d(X: 3.60, Y: 0.79), Rotation2d(Rads: 2.74, Deg: 156.94)), Curvature: -1.81), 
State(Sec: 2.87, Vel m/s: -0.72, Accel m/s/s: 0.22, Pose: Pose2d(Translation2d(X: 3.63, Y: 0.78), Rotation2d(Rads: 2.80, Deg: 160.51)), Curvature: -1.92), 
State(Sec: 2.91, Vel m/s: -0.71, Accel m/s/s: -0.08, Pose: Pose2d(Translation2d(X: 3.66, Y: 0.77), Rotation2d(Rads: 2.86, Deg: 164.11)), Curvature: -1.97), 
State(Sec: 2.96, Vel m/s: -0.72, Accel m/s/s: -0.49, Pose: Pose2d(Translation2d(X: 3.69, Y: 0.76), Rotation2d(Rads: 2.93, Deg: 167.62)), Curvature: -1.95), 
State(Sec: 3.00, Vel m/s: -0.74, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.72, Y: 0.76), Rotation2d(Rads: 2.98, Deg: 170.93)), Curvature: -1.85), 
State(Sec: 3.04, Vel m/s: -0.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: 0.75), Rotation2d(Rads: 3.04, Deg: 173.90)), Curvature: -1.65), 
State(Sec: 3.11, Vel m/s: -0.85, Accel m/s/s: -0.13, Pose: Pose2d(Translation2d(X: 3.81, Y: 0.75), Rotation2d(Rads: 3.11, Deg: 178.34)), Curvature: -0.98), 
State(Sec: 3.17, Vel m/s: -0.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.86, Y: 0.75), Rotation2d(Rads: 3.14, Deg: 180.00)), Curvature: 0.00), 
State(Sec: 3.24, Vel m/s: -0.79, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.92, Y: 0.75), Rotation2d(Rads: -3.11, Deg: -178.38)), Curvature: -0.98), 
State(Sec: 3.32, Vel m/s: -0.71, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.98, Y: 0.75), Rotation2d(Rads: -3.03, Deg: -173.84)), Curvature: -1.84), 
State(Sec: 3.36, Vel m/s: -0.67, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.00, Y: 0.76), Rotation2d(Rads: -2.98, Deg: -170.60)), Curvature: -2.21), 
State(Sec: 3.40, Vel m/s: -0.63, Accel m/s/s: 0.63, Pose: Pose2d(Translation2d(X: 4.03, Y: 0.76), Rotation2d(Rads: -2.91, Deg: -166.82)), Curvature: -2.54), 
State(Sec: 3.45, Vel m/s: -0.60, Accel m/s/s: 0.32, Pose: Pose2d(Translation2d(X: 4.06, Y: 0.77), Rotation2d(Rads: -2.84, Deg: -162.58)), Curvature: -2.78), 
State(Sec: 3.49, Vel m/s: -0.58, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 4.08, Y: 0.78), Rotation2d(Rads: -2.76, Deg: -157.99)), Curvature: -2.93), 
State(Sec: 3.54, Vel m/s: -0.58, Accel m/s/s: -0.13, Pose: Pose2d(Translation2d(X: 4.11, Y: 0.79), Rotation2d(Rads: -2.67, Deg: -153.19)), Curvature: -2.97), 
State(Sec: 3.59, Vel m/s: -0.59, Accel m/s/s: -0.33, Pose: Pose2d(Translation2d(X: 4.13, Y: 0.80), Rotation2d(Rads: -2.59, Deg: -148.32)), Curvature: -2.90), 
State(Sec: 3.64, Vel m/s: -0.60, Accel m/s/s: -0.52, Pose: Pose2d(Translation2d(X: 4.16, Y: 0.82), Rotation2d(Rads: -2.50, Deg: -143.50)), Curvature: -2.74), 
State(Sec: 3.69, Vel m/s: -0.63, Accel m/s/s: -0.70, Pose: Pose2d(Translation2d(X: 4.18, Y: 0.84), Rotation2d(Rads: -2.42, Deg: -138.85)), Curvature: -2.52), 
State(Sec: 3.74, Vel m/s: -0.66, Accel m/s/s: -0.89, Pose: Pose2d(Translation2d(X: 4.21, Y: 0.86), Rotation2d(Rads: -2.35, Deg: -134.45)), Curvature: -2.26), 
State(Sec: 3.79, Vel m/s: -0.71, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.23, Y: 0.89), Rotation2d(Rads: -2.28, Deg: -130.36)), Curvature: -1.99), 
State(Sec: 3.84, Vel m/s: -0.76, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.25, Y: 0.91), Rotation2d(Rads: -2.21, Deg: -126.60)), Curvature: -1.73), 
State(Sec: 3.89, Vel m/s: -0.80, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.27, Y: 0.94), Rotation2d(Rads: -2.15, Deg: -123.18)), Curvature: -1.50), 
State(Sec: 3.93, Vel m/s: -0.85, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.29, Y: 0.98), Rotation2d(Rads: -2.10, Deg: -120.10)), Curvature: -1.28), 
State(Sec: 3.98, Vel m/s: -0.90, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.31, Y: 1.01), Rotation2d(Rads: -2.05, Deg: -117.32)), Curvature: -1.10), 
State(Sec: 4.07, Vel m/s: -0.99, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.35, Y: 1.09), Rotation2d(Rads: -1.96, Deg: -112.58)), Curvature: -0.81), 
State(Sec: 4.16, Vel m/s: -1.08, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.38, Y: 1.18), Rotation2d(Rads: -1.90, Deg: -108.76)), Curvature: -0.60), 
State(Sec: 4.26, Vel m/s: -1.17, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.41, Y: 1.28), Rotation2d(Rads: -1.84, Deg: -105.66)), Curvature: -0.46), 
State(Sec: 4.35, Vel m/s: -1.26, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.44, Y: 1.39), Rotation2d(Rads: -1.80, Deg: -103.13)), Curvature: -0.35), 
State(Sec: 4.44, Vel m/s: -1.35, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.46, Y: 1.50), Rotation2d(Rads: -1.76, Deg: -101.03)), Curvature: -0.28), 
State(Sec: 4.52, Vel m/s: -1.44, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.49, Y: 1.62), Rotation2d(Rads: -1.73, Deg: -99.29)), Curvature: -0.23), 
State(Sec: 4.61, Vel m/s: -1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.50, Y: 1.74), Rotation2d(Rads: -1.71, Deg: -97.82)), Curvature: -0.19), 
State(Sec: 4.69, Vel m/s: -1.61, Accel m/s/s: -0.76, Pose: Pose2d(Translation2d(X: 4.52, Y: 1.87), Rotation2d(Rads: -1.69, Deg: -96.57)), Curvature: -0.16), 
State(Sec: 4.73, Vel m/s: -1.63, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 1.93), Rotation2d(Rads: -1.68, Deg: -96.01)), Curvature: -0.15), 
State(Sec: 4.77, Vel m/s: -1.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.53, Y: 2.00), Rotation2d(Rads: -1.67, Deg: -95.49)), Curvature: -0.14), 
State(Sec: 4.85, Vel m/s: -1.51, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.54, Y: 2.12), Rotation2d(Rads: -1.65, Deg: -94.57)), Curvature: -0.12), 
State(Sec: 4.93, Vel m/s: -1.43, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.55, Y: 2.25), Rotation2d(Rads: -1.64, Deg: -93.76)), Curvature: -0.11), 
State(Sec: 5.02, Vel m/s: -1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.56, Y: 2.37), Rotation2d(Rads: -1.62, Deg: -93.06)), Curvature: -0.10), 
State(Sec: 5.11, Vel m/s: -1.25, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.57, Y: 2.48), Rotation2d(Rads: -1.61, Deg: -92.45)), Curvature: -0.09), 
State(Sec: 5.20, Vel m/s: -1.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.57, Y: 2.59), Rotation2d(Rads: -1.60, Deg: -91.92)), Curvature: -0.08), 
State(Sec: 5.29, Vel m/s: -1.07, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.57, Y: 2.70), Rotation2d(Rads: -1.60, Deg: -91.45)), Curvature: -0.08), 
State(Sec: 5.39, Vel m/s: -0.98, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 2.79), Rotation2d(Rads: -1.59, Deg: -91.05)), Curvature: -0.07), 
State(Sec: 5.48, Vel m/s: -0.88, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 2.88), Rotation2d(Rads: -1.58, Deg: -90.72)), Curvature: -0.06), 
State(Sec: 5.58, Vel m/s: -0.78, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 2.96), Rotation2d(Rads: -1.58, Deg: -90.44)), Curvature: -0.06), 
State(Sec: 5.68, Vel m/s: -0.69, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.03), Rotation2d(Rads: -1.57, Deg: -90.23)), Curvature: -0.04), 
State(Sec: 5.90, Vel m/s: -0.47, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.16), Rotation2d(Rads: -1.57, Deg: -90.02)), Curvature: -0.01), 
State(Sec: 6.36, Vel m/s: -0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.27), Rotation2d(Rads: -1.57, Deg: -90.00)), Curvature: 0.00)
