Trajectory - Seconds: 11.07, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: -2.30), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 1.03), 
State(Sec: 4.80, Vel m/s: 0.16, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -3.12), Rotation2d(Rads: -0.13, Deg: -7.38)), Curvature: 39.12), 
State(Sec: 4.81, Vel m/s: 0.15, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: -0.07, Deg: -3.97)), Curvature: 43.67), 
State(Sec: 4.82, Vel m/s: 0.14, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: -0.01, Deg: -0.31)), Curvature: 48.36), 
State(Sec: 4.83, Vel m/s: 0.13, Accel m/s/s: -0.85, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.06, Deg: 3.58)), Curvature: 53.00), 
State(Sec: 4.84, Vel m/s: 0.12, Accel m/s/s: -0.62, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.13, Deg: 7.69)), Curvature: 57.35), 
State(Sec: 4.85, Vel m/s: 0.11, Accel m/s/s: -0.42, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.21, Deg: 11.99)), Curvature: 61.13), 
State(Sec: 4.86, Vel m/s: 0.11, Accel m/s/s: -0.24, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.29, Deg: 16.45)), Curvature: 64.07), 
State(Sec: 4.87, Vel m/s: 0.10, Accel m/s/s: -0.07, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.37, Deg: 21.00)), Curvature: 65.92), 
State(Sec: 4.88, Vel m/s: 0.10, Accel m/s/s: 0.09, Pose: Pose2d(Translation2d(X: 3.74, Y: -3.12), Rotation2d(Rads: 0.45, Deg: 25.61)), Curvature: 66.52), 
State(Sec: 4.89, Vel m/s: 0.10, Accel m/s/s: 0.25, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.12), Rotation2d(Rads: 0.53, Deg: 30.20)), Curvature: 65.82), 
State(Sec: 4.91, Vel m/s: 0.11, Accel m/s/s: 0.43, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.12), Rotation2d(Rads: 0.61, Deg: 34.72)), Curvature: 63.89), 
State(Sec: 4.92, Vel m/s: 0.11, Accel m/s/s: 0.63, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.12), Rotation2d(Rads: 0.68, Deg: 39.11)), Curvature: 60.92), 
State(Sec: 4.93, Vel m/s: 0.12, Accel m/s/s: 0.86, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 0.76, Deg: 43.33)), Curvature: 57.15), 
State(Sec: 4.94, Vel m/s: 0.13, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 0.83, Deg: 47.34)), Curvature: 52.88), 
State(Sec: 4.95, Vel m/s: 0.14, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 0.89, Deg: 51.13)), Curvature: 48.35), 
State(Sec: 4.96, Vel m/s: 0.15, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 0.95, Deg: 54.68)), Curvature: 43.80), 
State(Sec: 4.97, Vel m/s: 0.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 1.01, Deg: 57.98)), Curvature: 39.38), 
State(Sec: 4.98, Vel m/s: 0.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 1.07, Deg: 61.05)), Curvature: 35.22), 
State(Sec: 4.99, Vel m/s: 0.17, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 1.11, Deg: 63.88)), Curvature: 31.39), 
State(Sec: 4.99, Vel m/s: 0.18, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 1.16, Deg: 66.50)), Curvature: 27.91), 
State(Sec: 5.00, Vel m/s: 0.19, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -3.11), Rotation2d(Rads: 1.20, Deg: 68.90)), Curvature: 24.78), 
State(Sec: 5.02, Vel m/s: 0.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.10), Rotation2d(Rads: 1.28, Deg: 73.17)), Curvature: 19.54), 
State(Sec: 5.04, Vel m/s: 0.22, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.10), Rotation2d(Rads: 1.34, Deg: 76.79)), Curvature: 15.48), 
State(Sec: 5.05, Vel m/s: 0.24, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.09), Rotation2d(Rads: 1.39, Deg: 79.87)), Curvature: 12.34), 
State(Sec: 5.09, Vel m/s: 0.27, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.09), Rotation2d(Rads: 1.48, Deg: 84.80)), Curvature: 8.06), 
State(Sec: 5.12, Vel m/s: 0.31, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.08), Rotation2d(Rads: 1.54, Deg: 88.50)), Curvature: 5.46), 
State(Sec: 5.15, Vel m/s: 0.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.07), Rotation2d(Rads: 1.59, Deg: 91.34)), Curvature: 3.83), 
State(Sec: 5.22, Vel m/s: 0.41, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.76, Y: -3.04), Rotation2d(Rads: 1.66, Deg: 95.35)), Curvature: 2.04), 
State(Sec: 5.35, Vel m/s: 0.54, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: -2.98), Rotation2d(Rads: 1.74, Deg: 99.73)), Curvature: 0.72), 
State(Sec: 5.48, Vel m/s: 0.67, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -2.90), Rotation2d(Rads: 1.78, Deg: 101.79)), Curvature: 0.28), 
State(Sec: 5.60, Vel m/s: 0.79, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.71, Y: -2.81), Rotation2d(Rads: 1.79, Deg: 102.69)), Curvature: 0.09), 
State(Sec: 5.72, Vel m/s: 0.91, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.69, Y: -2.72), Rotation2d(Rads: 1.80, Deg: 102.86)), Curvature: -0.02), 
State(Sec: 5.83, Vel m/s: 1.02, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 3.67, Y: -2.61), Rotation2d(Rads: 1.79, Deg: 102.49)), Curvature: -0.10), 
State(Sec: 5.93, Vel m/s: 1.12, Accel m/s/s: 0.94, Pose: Pose2d(Translation2d(X: 3.65, Y: -2.51), Rotation2d(Rads: 1.77, Deg: 101.63)), Curvature: -0.17), 
State(Sec: 6.03, Vel m/s: 1.21, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.62, Y: -2.40), Rotation2d(Rads: 1.75, Deg: 100.25)), Curvature: -0.26), 
State(Sec: 6.13, Vel m/s: 1.12, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.61, Y: -2.29), Rotation2d(Rads: 1.72, Deg: 98.27)), Curvature: -0.37), 
State(Sec: 6.23, Vel m/s: 1.02, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: -2.18), Rotation2d(Rads: 1.67, Deg: 95.50)), Curvature: -0.54), 
State(Sec: 6.33, Vel m/s: 0.91, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: -2.08), Rotation2d(Rads: 1.60, Deg: 91.62)), Curvature: -0.81), 
State(Sec: 6.39, Vel m/s: 0.86, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: -2.03), Rotation2d(Rads: 1.56, Deg: 89.12)), Curvature: -1.02), 
State(Sec: 6.44, Vel m/s: 0.80, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: -1.98), Rotation2d(Rads: 1.50, Deg: 86.11)), Curvature: -1.28), 
State(Sec: 6.50, Vel m/s: 0.74, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.59, Y: -1.94), Rotation2d(Rads: 1.44, Deg: 82.48)), Curvature: -1.64), 
State(Sec: 6.56, Vel m/s: 0.69, Accel m/s/s: -0.96, Pose: Pose2d(Translation2d(X: 3.60, Y: -1.90), Rotation2d(Rads: 1.36, Deg: 78.06)), Curvature: -2.13), 
State(Sec: 6.59, Vel m/s: 0.66, Accel m/s/s: -0.85, Pose: Pose2d(Translation2d(X: 3.60, Y: -1.88), Rotation2d(Rads: 1.32, Deg: 75.57)), Curvature: -2.31), 
State(Sec: 6.62, Vel m/s: 0.63, Accel m/s/s: -0.73, Pose: Pose2d(Translation2d(X: 3.61, Y: -1.86), Rotation2d(Rads: 1.27, Deg: 72.94)), Curvature: -2.50), 
State(Sec: 6.65, Vel m/s: 0.61, Accel m/s/s: -0.62, Pose: Pose2d(Translation2d(X: 3.62, Y: -1.84), Rotation2d(Rads: 1.22, Deg: 70.18)), Curvature: -2.68), 
State(Sec: 6.68, Vel m/s: 0.59, Accel m/s/s: -0.51, Pose: Pose2d(Translation2d(X: 3.62, Y: -1.83), Rotation2d(Rads: 1.17, Deg: 67.30)), Curvature: -2.85), 
State(Sec: 6.71, Vel m/s: 0.58, Accel m/s/s: -0.40, Pose: Pose2d(Translation2d(X: 3.63, Y: -1.81), Rotation2d(Rads: 1.12, Deg: 64.33)), Curvature: -3.01), 
State(Sec: 6.74, Vel m/s: 0.56, Accel m/s/s: -0.30, Pose: Pose2d(Translation2d(X: 3.64, Y: -1.80), Rotation2d(Rads: 1.07, Deg: 61.26)), Curvature: -3.14), 
State(Sec: 6.77, Vel m/s: 0.55, Accel m/s/s: -0.19, Pose: Pose2d(Translation2d(X: 3.65, Y: -1.78), Rotation2d(Rads: 1.01, Deg: 58.12)), Curvature: -3.25), 
State(Sec: 6.80, Vel m/s: 0.55, Accel m/s/s: -0.09, Pose: Pose2d(Translation2d(X: 3.66, Y: -1.77), Rotation2d(Rads: 0.96, Deg: 54.94)), Curvature: -3.32), 
State(Sec: 6.83, Vel m/s: 0.55, Accel m/s/s: 0.02, Pose: Pose2d(Translation2d(X: 3.67, Y: -1.75), Rotation2d(Rads: 0.90, Deg: 51.74)), Curvature: -3.35), 
State(Sec: 6.86, Vel m/s: 0.55, Accel m/s/s: 0.13, Pose: Pose2d(Translation2d(X: 3.68, Y: -1.74), Rotation2d(Rads: 0.85, Deg: 48.54)), Curvature: -3.34), 
State(Sec: 6.89, Vel m/s: 0.55, Accel m/s/s: 0.23, Pose: Pose2d(Translation2d(X: 3.69, Y: -1.73), Rotation2d(Rads: 0.79, Deg: 45.38)), Curvature: -3.29), 
